,Coupon,Restauarant ID,Start Date,End Date,Orders with Discount,Discounted Orders Revenue ,Discount Spend,Average Order Value (Discounted Orders),New User Orders ,Returning User Orders,Dormant User Orders
42,PARTY,313834.0,2022-12-22,2023-03-31,22.0,12737.019999999999,3853.5,578.9554545454546,20.0,2.0,0.0
43,PARTY,445384.0,2022-09-26,2023-03-31,19.0,14328.11,3260.18,754.1110526315789,11.0,8.0,1.0
44,PARTY,231392.0,2022-09-26,2023-03-31,14.0,11901.839999999998,2691.92,850.1314285714286,5.0,9.0,3.0
45,PARTY,180796.0,2022-09-26,2023-03-31,4.0,3271.5899999999997,725.2,817.8974999999999,3.0,1.0,0.0
46,PARTY,600278.0,2022-10-04,2023-03-31,4.0,1964.83,571.73,491.2075,4.0,0.0,0.0
47,PARTY,570269.0,2022-12-22,2023-03-31,2.0,939.97,272.99,469.985,2.0,0.0,0.0
48,PARTY,180801.0,2023-01-02,2023-03-31,2.0,2461.54,199.68,1230.77,2.0,0.0,0.0
49,PARTY,4780.0,2023-01-02,2023-03-31,1.0,1113.6299999999999,113.4,1113.6299999999999,1.0,0.0,0.0
50,PARTY,444423.0,2022-12-22,2023-03-31,0.0,,0.0,,0.0,0.0,0.0
51,FLATDEAL,4780.0,2023-01-11,2024-03-31,92.0,70855.95999999999,7934.08,770.1734782608695,17.0,75.0,10.0
52,FLATDEAL,180801.0,2023-01-11,2024-03-31,100.0,80399.822,6580.727999999999,803.9982199999998,50.0,50.0,16.0
53,GUILTFREEJAN,4780.0,2023-01-15,2023-01-31,22.0,8492.12,1598.2700000000002,386.0054545454546,5.0,17.0,5.0
54,FLAT150,444423.0,2023-01-01,2023-01-15,3.0,878.8699999999999,449.98,292.95666666666665,2.0,1.0,0.0
55,CITIFOODIE,4780.0,2023-01-01,2023-01-29,1.0,1571.51,35.31999999999999,1571.51,0.0,1.0,0.0
56,APOLOGY150,600278.0,2023-01-04,2023-02-03,0.0,,0.0,,0.0,0.0,0.0
57,AUDC100,180801.0,2023-01-01,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
58,AUDC100,231392.0,2023-01-01,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
59,AXIS200,313834.0,2023-01-16,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
60,AXISFKNEW,180801.0,2022-09-24,2022-03-08,0.0,,0.0,,0.0,0.0,0.0
61,COMEBACK150,4780.0,2023-01-23,2023-02-22,0.0,,0.0,,0.0,0.0,0.0
62,COMEBACK150,180801.0,2023-01-23,2023-02-22,0.0,,0.0,,0.0,0.0,0.0
63,ICICINB100,4780.0,2023-01-03,2023-01-29,0.0,,0.0,,0.0,0.0,0.0
64,ICICINB100,180801.0,2023-01-03,2023-01-29,0.0,,0.0,,0.0,0.0,0.0
65,INDUSIND20,180801.0,2023-01-01,2023-01-29,1.0,639.7,-50.24,639.7,0.0,1.0,0.0
66,INDUSIND100,4780.0,2023-01-12,2023-01-27,1.0,500.14000000000004,-60.32,500.14000000000004,1.0,0.0,0.0
67,UBICC100,180801.0,2023-01-05,2023-01-31,1.0,442.69,-67.61,442.69,0.0,1.0,0.0
68,AUCC100,180801.0,2023-01-01,2023-01-31,2.0,1069.75,-116.81,534.875,1.0,1.0,0.0
69,ICICIAMZ,4780.0,2023-01-08,2023-01-29,2.0,2765.3199999999997,50.360000000000014,1382.6599999999999,2.0,0.0,0.0
70,ICICIAMZ,180801.0,2023-01-01,2023-01-29,4.0,2562.0,-200.0,640.5,0.0,4.0,0.0
71,ICICIFEST,4780.0,2023-01-06,2023-01-27,0.0,,0.0,,0.0,0.0,0.0
72,ICICIFEST,313834.0,2023-01-20,2023-01-27,0.0,,0.0,,0.0,0.0,0.0
73,ICICIFEST,180801.0,2023-01-06,2023-01-27,3.0,1392.99,-204.66000000000003,464.33,1.0,2.0,0.0
74,AXIS40,180796.0,2023-01-20,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
75,AXIS40,231392.0,2023-01-09,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
76,AXIS40,313834.0,2023-01-20,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
77,AXIS40,330114.0,2023-01-09,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
78,AXIS40,445384.0,2023-01-01,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
79,AXIS40,600278.0,2023-01-01,2023-01-31,0.0,,0.0,,0.0,0.0,0.0
80,AXIS40,4780.0,2023-01-01,2023-01-31,1.0,418.11,-70.2,418.11,0.0,1.0,0.0
81,AXIS40,180801.0,2023-01-01,2023-01-31,4.0,1723.94,-279.84000000000003,430.985,2.0,2.0,0.0
82,,,,,,,,,,,
83,"Applied filters:
DT is before 2/1/2023 12:00:00 AM
Period is Custom...",,,,,,,,,,
0,TRYNEW,330114.0,2022-09-26 00:00:00,2023-03-31 00:00:00,310.0,56654.0,30488.0,183.0,310.0,0.0,0.0
1,TRYNEW,180801.0,2023-01-02 00:00:00,2023-03-31 00:00:00,915.0,250465.0,25688.0,274.0,915.0,0.0,0.0
2,TRYNEW,445384.0,2022-09-26 00:00:00,2023-03-31 00:00:00,143.0,29188.0,14045.0,204.0,143.0,0.0,0.0
3,TRYNEW,4780.0,2023-01-02 00:00:00,2023-05-31 00:00:00,177.0,48613.0,10163.0,275.0,177.0,0.0,0.0
4,TRYNEW,231392.0,2022-09-26 00:00:00,2023-03-31 00:00:00,80.0,16467.0,6189.0,206.0,80.0,0.0,0.0
5,TRYNEW,180796.0,2022-09-26 00:00:00,2023-03-31 00:00:00,58.0,9861.0,5768.0,170.0,58.0,0.0,0.0
6,TRYNEW,570269.0,2022-12-22 00:00:00,2023-03-31 00:00:00,66.0,11982.0,5093.0,182.0,66.0,0.0,0.0
7,TRYNEW,313834.0,2022-12-22 00:00:00,2023-03-31 00:00:00,54.0,13295.0,4264.0,246.0,54.0,0.0,0.0
8,TRYNEW,408.0,2022-09-26 00:00:00,2023-03-31 00:00:00,40.0,9677.0,3944.0,242.0,40.0,0.0,0.0
9,TRYNEW,570268.0,2022-10-04 00:00:00,2023-03-31 00:00:00,22.0,2477.0,2426.0,113.0,22.0,0.0,0.0
10,TRYNEW,600278.0,2022-12-29 00:00:00,2023-01-12 00:00:00,17.0,3129.0,1087.0,184.0,17.0,0.0,0.0
11,TRYNEW,444423.0,2022-12-22 00:00:00,2023-03-31 00:00:00,9.0,1395.0,1044.0,155.0,9.0,0.0,0.0
12,SWIGGYIT,180801.0,2023-01-02 00:00:00,2023-03-31 00:00:00,814.0,222499.0,18685.0,273.0,0.0,814.0,0.0
13,SWIGGYIT,330114.0,2022-09-26 00:00:00,2023-03-31 00:00:00,205.0,37313.0,16105.0,182.0,1.0,204.0,0.0
14,SWIGGYIT,4780.0,2023-01-02 00:00:00,2023-05-31 00:00:00,389.0,113555.0,15248.0,292.0,0.0,389.0,2.0
15,SWIGGYIT,445384.0,2022-09-26 00:00:00,2023-03-31 00:00:00,142.0,32594.0,11191.0,230.0,0.0,142.0,0.0
16,SWIGGYIT,408.0,2022-09-26 00:00:00,2023-03-31 00:00:00,76.0,19685.0,5993.0,259.0,0.0,76.0,0.0
17,SWIGGYIT,444423.0,2022-12-22 00:00:00,2023-03-31 00:00:00,15.0,2580.0,1798.0,172.0,0.0,15.0,0.0
18,SWIGGYIT,231392.0,2022-09-26 00:00:00,2023-03-31 00:00:00,46.0,14818.0,1680.0,322.0,0.0,46.0,0.0
19,SWIGGYIT,313834.0,2022-12-22 00:00:00,2023-03-31 00:00:00,18.0,3037.0,1296.0,169.0,0.0,18.0,0.0
20,SWIGGYIT,570269.0,2022-12-22 00:00:00,2023-03-31 00:00:00,15.0,3064.0,1163.0,204.0,0.0,15.0,0.0
21,SWIGGYIT,180796.0,2022-09-26 00:00:00,2023-03-31 00:00:00,9.0,2479.0,720.0,275.0,0.0,9.0,0.0
22,SWIGGYIT,600278.0,2022-12-29 00:00:00,2023-01-12 00:00:00,5.0,923.0,188.0,185.0,0.0,5.0,0.0
23,SWIGGYIT,570268.0,2022-10-04 00:00:00,2023-03-31 00:00:00,1.0,110.0,64.0,110.0,0.0,1.0,0.0
24,SwiggyOne EO,180801.0,-,-,450.0,196995.0,19024.0,438.0,179.0,271.0,42.0
25,SwiggyOne EO,4780.0,-,-,179.0,99586.0,9777.0,556.0,43.0,136.0,25.0
